Rank,Movie Title,Year
1,The Shawshank Redemption,1994
2,The Godfather,1972
3,The Godfather: Part II,1974
4,The Dark Knight,2008
5,12 Angry Men,1957
6,Schindler's List,1993
7,The Lord of the Rings: The Return of the King,2003
8,Pulp Fiction,1994
9,"The Good, the Bad and the Ugly",1966
10,Fight Club,1999
11,The Lord of the Rings: The Fellowship of the Ring,2001
12,Joker,2019
13,Forrest Gump,1994
14,Inception,2010
15,Star Wars: Episode V - The Empire Strikes Back,1980
16,The Lord of the Rings: The Two Towers,2002
17,The Matrix,1999
18,One Flew Over the Cuckoo's Nest,1975
19,Goodfellas,1990
20,Seven Samurai,1954
21,Se7en,1995
22,City of God,2002
23,Life Is Beautiful,1997
24,The Silence of the Lambs,1991
25,It's a Wonderful Life,1946
26,Star Wars: Episode IV - A New Hope,1977
27,Saving Private Ryan,1998
28,Spirited Away,2001
29,The Green Mile,1999
30,Léon: The Professional,1994
31,Interstellar,2014
32,Harakiri,1962
33,The Usual Suspects,1995
34,The Lion King,1994
35,American History X,1998
36,Back to the Future,1985
37,The Pianist,2002
38,Modern Times,1936
39,Terminator 2: Judgment Day,1991
40,The Intouchables,2011
41,Psycho,1960
42,Gladiator,2000
43,City Lights,1931
44,The Departed,2006
45,Whiplash,2014
46,Once Upon a Time in the West,1968
47,The Prestige,2006
48,Avengers: Endgame,2019
49,Casablanca,1942
50,Grave of the Fireflies,1988
51,Rear Window,1954
52,Cinema Paradiso,1988
53,Alien,1979
54,Raiders of the Lost Ark,1981
55,Memento,2000
56,Apocalypse Now,1979
57,The Great Dictator,1940
58,The Lives of Others,2006
59,Django Unchained,2012
60,Avengers: Infinity War,2018
61,Spider-Man: Into the Spider-Verse,2018
62,The Shining,1980
63,Paths of Glory,1957
64,WALL·E,2008
65,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
66,Sunset Blvd,1950
67,Princess Mononoke,1997
68,Oldeuboi,2003
69,Witness for the Prosecution,1957
70,Parasite,2019
71,The Dark Knight Rises,2012
72,Once Upon a Time in America,1984
73,Aliens,1986
74,American Beauty,1999
75,Coco,2017
76,Your Name,2016
77,Braveheart,1995
78,Das Boot,1981
79,3 Idiots,2009
80,Taare Zameen Par,2007
81,Star Wars: Episode VI - Return of the Jedi,1983
82,Toy Story,1995
83,Reservoir Dogs,1992
84,Amadeus,1984
85,Dangal,2016
86,Inglourious Basterds,2009
87,Good Will Hunting,1997
88,M,1931
89,Requiem for a Dream,2000
90,2001: A Space Odyssey,1968
91,Vertigo,1958
92,Eternal Sunshine of the Spotless Mind,2004
93,Citizen Kane,1941
94,Full Metal Jacket,1987
95,The Hunt,2012
96,North by Northwest,1959
97,A Clockwork Orange,1971
98,Snatch,2000
99,The Kid,1921
100,Amélie,2001
101,Bicycle Thieves,1948
102,Scarface,1983
103,Singin' in the Rain,1952
104,Lawrence of Arabia,1962
105,Taxi Driver,1976
106,Toy Story 3,2010
107,The Sting,1973
108,Metropolis,1927
109,For a Few Dollars More,1965
110,Ikiru,1952
111,Double Indemnity,1944
112,A Separation,2011
113,To Kill a Mockingbird,1962
114,Indiana Jones and the Last Crusade,1989
115,The Apartment,1960
116,Capharnaüm,2018
117,Up,2009
118,L.A. Confidential,1997
119,Monty Python and the Holy Grail,1975
120,Incendies,2010
121,Heat,1995
122,Rashômon,1950
123,Batman Begins,2005
124,Yojimbo,1961
125,Die Hard,1988
126,Unforgiven,1992
127,Green Book,2018
128,Downfall,2004
129,Children of Heaven,1997
130,Some Like It Hot,1959
131,Drishyam,2013
132,Howl's Moving Castle,2004
133,The Great Escape,1963
134,My Neighbor Totoro,1988
135,Ran,1985
136,A Beautiful Mind,2001
137,All About Eve,1950
138,Pan's Labyrinth,2006
139,Casino,1995
140,Come and See,1985
141,The Secret in Their Eyes,2009
142,Raging Bull,1980
143,"Lock, Stock and Two Smoking Barrels",1998
144,Babam ve Oglum,2005
145,The Treasure of the Sierra Madre,1948
146,The Wolf of Wall Street,2013
147,Judgment at Nuremberg,1961
148,"Three Billboards Outside Ebbing, Missouri",2017
149,Chinatown,1974
150,The Gold Rush,1925
151,Dial M for Murder,1954
152,Inside Out,2015
153,V for Vendetta,2005
154,There Will Be Blood,2007
155,The Seventh Seal,1957
156,Warrior,2011
157,Room,2015
158,Trainspotting,1996
159,No Country for Old Men,2007
160,The Elephant Man,1980
161,Andhadhun,2018
162,The Sixth Sense,1999
163,Shutter Island,2010
164,The Thing,1982
165,The Bridge on the River Kwai,1957
166,Gone with the Wind,1939
167,Blade Runner,1982
168,The Third Man,1949
169,On the Waterfront,1954
170,The Bandit,1996
171,Wild Strawberries,1957
172,Jurassic Park,1993
173,Finding Nemo,2003
174,Gran Torino,2008
175,Fargo,1996
176,Kill Bill: Vol.1,2003
177,The Deer Hunter,1978
178,Tokyo Story,1953
179,Stalker,1979
180,The Big Lebowski,1998
181,The Truman Show,1998
182,Relatos salvajes,2014
183,Mary and Max,2009
184,Hacksaw Ridge,2016
185,In the Name of the Father,1993
186,Gone Girl,2014
187,Sherlock Jr,1924
188,The General,1926
189,How to Train Your Dragon,2010
190,Mr. Smith Goes to Washington,1939
191,The Grand Budapest Hotel,2014
192,Memories of Murder,2003
193,Persona,1966
194,Before Sunrise,1995
195,Catch Me If You Can,2002
196,The Red Shoes,1948
197,Into the Wild,2007
198,The Wages of Fear,1953
199,Cool Hand Luke,1967
200,12 Years a Slave,2013
201,Network,1976
202,Prisoners,2013
203,Monty Python's Life of Brian,1979
204,The Passion of Joan of Arc,1928
205,Stand by Me,1986
206,Mad Max: Fury Road,2015
207,Rang De Basanti,2006
208,Platoon,1986
209,Andrei Rublev,1966
210,Rush,2013
211,Million Dollar Baby,2004
212,Hachi: A Dog's Tale,2009
213,Logan,2017
214,Barry Lyndon,1975
215,Ben-Hur,1959
216,White Heat,1949
217,Nausicaä of the Valley of the Wind,1984
218,Hotel Rwanda,2004
219,Amores Perros,2000
220,Harry Potter and the Deathly Hallows: Part 2,2011
221,The 400 Blows,1959
222,Spotlight,2015
223,Ace in the Hole,1951
224,Dead Poets Society,1989
225,Rebecca,1940
226,Rocky,1976
227,"Monsters, Inc",2001
228,It Happened One Night,1934
229,Gangs of Wasseypur,2012
230,La Haine,1995
231,The Handmaiden,2016
232,Lagaan: Once Upon a Time in India,2001
233,The Princess Bride,1987
234,Munna Bhai M.B.B.S,2003
235,PK,2014
236,Butch Cassidy and the Sundance Kid,1969
237,Before Sunset,2004
238,The Help,2011
239,Swades,2004
240,Akira,1988
241,The Terminator,1984
242,In the Mood for Love,2000
243,The Exterminating Angel,1962
244,"Paris, Texas",1984
245,Guardians of the Galaxy,2014
246,Infernal Affairs,2002
247,Aladdin,1992
248,The Battle of Algiers,1966
249,Drishyam,2015
250,Chak de! India,2007